"Label (Grouping)","Los Angeles County, California!!Households!!Estimate","Los Angeles County, California!!Households!!Margin of Error","Los Angeles County, California!!Families!!Estimate","Los Angeles County, California!!Families!!Margin of Error","Los Angeles County, California!!Married-couple families!!Estimate","Los Angeles County, California!!Married-couple families!!Margin of Error","Los Angeles County, California!!Nonfamily households!!Estimate","Los Angeles County, California!!Nonfamily households!!Margin of Error"
"Total","3,390,254","±6,035","2,221,256","±8,491","1,478,495","±9,241","1,168,998","±7,111"
"    Less than $10,000","5.2%","±0.1","3.3%","±0.1","1.6%","±0.1","10.0%","±0.2"
"    $10,000 to $14,999","3.7%","±0.1","1.8%","±0.1","1.0%","±0.1","7.8%","±0.2"
"    $15,000 to $24,999","5.9%","±0.1","4.7%","±0.1","3.5%","±0.1","8.9%","±0.3"
"    $25,000 to $34,999","6.0%","±0.1","5.7%","±0.1","4.1%","±0.1","7.5%","±0.2"
"    $35,000 to $49,999","9.0%","±0.1","8.9%","±0.2","6.7%","±0.2","10.0%","±0.2"
"    $50,000 to $74,999","13.9%","±0.1","14.0%","±0.2","11.9%","±0.2","14.3%","±0.3"
"    $75,000 to $99,999","12.0%","±0.1","12.3%","±0.2","11.7%","±0.2","11.2%","±0.3"
"    $100,000 to $149,999","17.5%","±0.2","18.5%","±0.2","19.7%","±0.2","14.5%","±0.3"
"    $150,000 to $199,999","10.3%","±0.1","11.5%","±0.2","13.7%","±0.3","7.0%","±0.2"
"    $200,000 or more","16.5%","±0.2","19.6%","±0.2","26.0%","±0.3","9.0%","±0.2"
"Median income (dollars)","87,760","±463","98,839","±684","121,838","±889","59,840","±398"
"Mean income (dollars)","125,539","±631","140,371","±783","167,276","±1,119","89,225","±779"
"PERCENT ALLOCATED","","","","","","","",""
"    Household income in the past 12 months","41.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","44.7%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","33.9%","(X)"
