GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,I25E001,NAME_M,I25M001
"G10140","2010","US",,,,,,,,,"Aberdeen, WA Micro Area","10140",,,,,,,,,,,,,"31000US10140","Aberdeen, WA Micro Area",40019,"Aberdeen, WA Micro Area",2812
"G10180","2010","US",,,,,,,,,"Abilene, TX Metro Area","10180",,,,,,,,,,,,,"31000US10180","Abilene, TX Metro Area",40630,"Abilene, TX Metro Area",2574
"G10300","2010","US",,,,,,,,,"Adrian, MI Micro Area","10300",,,,,,,,,,,,,"31000US10300","Adrian, MI Micro Area",45563,"Adrian, MI Micro Area",2528
"G10380","2010","PR",,,,,,,,,"Aguadilla-Isabela-San Sebastián, PR Metro Area","10380",,,,,,,,,,,,,"31000US10380","Aguadilla-Isabela-San Sebastián, PR Metro Area",14313,"Aguadilla-Isabela-San Sebastián, PR Metro Area",923
"G10420","2010","US",,,,,,,,,"Akron, OH Metro Area","10420",,,,,,,,,,,,,"31000US10420","Akron, OH Metro Area",46521,"Akron, OH Metro Area",1212
"G10500","2010","US",,,,,,,,,"Albany, GA Metro Area","10500",,,,,,,,,,,,,"31000US10500","Albany, GA Metro Area",34002,"Albany, GA Metro Area",4118
"G10540","2010","US",,,,,,,,,"Albany-Lebanon, OR Micro Area","10540",,,,,,,,,,,,,"31000US10540","Albany-Lebanon, OR Micro Area",42900,"Albany-Lebanon, OR Micro Area",2653
"G10580","2010","US",,,,,,,,,"Albany-Schenectady-Troy, NY Metro Area","10580",,,,,,,,,,,,,"31000US10580","Albany-Schenectady-Troy, NY Metro Area",55796,"Albany-Schenectady-Troy, NY Metro Area",1459
"G10700","2010","US",,,,,,,,,"Albertville, AL Micro Area","10700",,,,,,,,,,,,,"31000US10700","Albertville, AL Micro Area",39343,"Albertville, AL Micro Area",2920
"G10740","2010","US",,,,,,,,,"Albuquerque, NM Metro Area","10740",,,,,,,,,,,,,"31000US10740","Albuquerque, NM Metro Area",47383,"Albuquerque, NM Metro Area",1494
"G10780","2010","US",,,,,,,,,"Alexandria, LA Metro Area","10780",,,,,,,,,,,,,"31000US10780","Alexandria, LA Metro Area",40017,"Alexandria, LA Metro Area",4085
"G10880","2010","US",,,,,,,,,"Allegan, MI Micro Area","10880",,,,,,,,,,,,,"31000US10880","Allegan, MI Micro Area",44847,"Allegan, MI Micro Area",2290
"G10900","2010","US",,,,,,,,,"Allentown-Bethlehem-Easton, PA-NJ Metro Area","10900",,,,,,,,,,,,,"31000US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area",55630,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",1247
"G11020","2010","US",,,,,,,,,"Altoona, PA Metro Area","11020",,,,,,,,,,,,,"31000US11020","Altoona, PA Metro Area",42990,"Altoona, PA Metro Area",3896
"G11100","2010","US",,,,,,,,,"Amarillo, TX Metro Area","11100",,,,,,,,,,,,,"31000US11100","Amarillo, TX Metro Area",46390,"Amarillo, TX Metro Area",1819
"G11180","2010","US",,,,,,,,,"Ames, IA Metro Area","11180",,,,,,,,,,,,,"31000US11180","Ames, IA Metro Area",48034,"Ames, IA Metro Area",2922
"G11260","2010","US",,,,,,,,,"Anchorage, AK Metro Area","11260",,,,,,,,,,,,,"31000US11260","Anchorage, AK Metro Area",71490,"Anchorage, AK Metro Area",2588
"G11300","2010","US",,,,,,,,,"Anderson, IN Metro Area","11300",,,,,,,,,,,,,"31000US11300","Anderson, IN Metro Area",38772,"Anderson, IN Metro Area",2106
"G11340","2010","US",,,,,,,,,"Anderson, SC Metro Area","11340",,,,,,,,,,,,,"31000US11340","Anderson, SC Metro Area",36770,"Anderson, SC Metro Area",3444
"G11460","2010","US",,,,,,,,,"Ann Arbor, MI Metro Area","11460",,,,,,,,,,,,,"31000US11460","Ann Arbor, MI Metro Area",55880,"Ann Arbor, MI Metro Area",2321
"G11500","2010","US",,,,,,,,,"Anniston-Oxford, AL Metro Area","11500",,,,,,,,,,,,,"31000US11500","Anniston-Oxford, AL Metro Area",36675,"Anniston-Oxford, AL Metro Area",3304
"G11540","2010","US",,,,,,,,,"Appleton, WI Metro Area","11540",,,,,,,,,,,,,"31000US11540","Appleton, WI Metro Area",55883,"Appleton, WI Metro Area",2277
"G11700","2010","US",,,,,,,,,"Asheville, NC Metro Area","11700",,,,,,,,,,,,,"31000US11700","Asheville, NC Metro Area",42168,"Asheville, NC Metro Area",1873
"G11780","2010","US",,,,,,,,,"Ashtabula, OH Micro Area","11780",,,,,,,,,,,,,"31000US11780","Ashtabula, OH Micro Area",38751,"Ashtabula, OH Micro Area",3551
"G11980","2010","US",,,,,,,,,"Athens, TX Micro Area","11980",,,,,,,,,,,,,"31000US11980","Athens, TX Micro Area",36570,"Athens, TX Micro Area",2705
"G12020","2010","US",,,,,,,,,"Athens-Clarke County, GA Metro Area","12020",,,,,,,,,,,,,"31000US12020","Athens-Clarke County, GA Metro Area",40391,"Athens-Clarke County, GA Metro Area",2642
"G12060","2010","US",,,,,,,,,"Atlanta-Sandy Springs-Marietta, GA Metro Area","12060",,,,,,,,,,,,,"31000US12060","Atlanta-Sandy Springs-Marietta, GA Metro Area",53182,"Atlanta-Sandy Springs-Marietta, GA Metro Area",830
"G12100","2010","US",,,,,,,,,"Atlantic City-Hammonton, NJ Metro Area","12100",,,,,,,,,,,,,"31000US12100","Atlantic City-Hammonton, NJ Metro Area",52571,"Atlantic City-Hammonton, NJ Metro Area",2906
"G12180","2010","US",,,,,,,,,"Auburn, NY Micro Area","12180",,,,,,,,,,,,,"31000US12180","Auburn, NY Micro Area",49136,"Auburn, NY Micro Area",1891
"G12220","2010","US",,,,,,,,,"Auburn-Opelika, AL Metro Area","12220",,,,,,,,,,,,,"31000US12220","Auburn-Opelika, AL Metro Area",39381,"Auburn-Opelika, AL Metro Area",3294
"G12260","2010","US",,,,,,,,,"Augusta-Richmond County, GA-SC Metro Area","12260",,,,,,,,,,,,,"31000US12260","Augusta-Richmond County, GA-SC Metro Area",44477,"Augusta-Richmond County, GA-SC Metro Area",2737
"G12300","2010","US",,,,,,,,,"Augusta-Waterville, ME Micro Area","12300",,,,,,,,,,,,,"31000US12300","Augusta-Waterville, ME Micro Area",44964,"Augusta-Waterville, ME Micro Area",3781
"G12420","2010","US",,,,,,,,,"Austin-Round Rock-San Marcos, TX Metro Area","12420",,,,,,,,,,,,,"31000US12420","Austin-Round Rock-San Marcos, TX Metro Area",55744,"Austin-Round Rock-San Marcos, TX Metro Area",996
"G12540","2010","US",,,,,,,,,"Bakersfield-Delano, CA Metro Area","12540",,,,,,,,,,,,,"31000US12540","Bakersfield-Delano, CA Metro Area",45524,"Bakersfield-Delano, CA Metro Area",2036
"G12580","2010","US",,,,,,,,,"Baltimore-Towson, MD Metro Area","12580",,,,,,,,,,,,,"31000US12580","Baltimore-Towson, MD Metro Area",64812,"Baltimore-Towson, MD Metro Area",1116
"G12620","2010","US",,,,,,,,,"Bangor, ME Metro Area","12620",,,,,,,,,,,,,"31000US12620","Bangor, ME Metro Area",42964,"Bangor, ME Metro Area",3302
"G12700","2010","US",,,,,,,,,"Barnstable Town, MA Metro Area","12700",,,,,,,,,,,,,"31000US12700","Barnstable Town, MA Metro Area",55294,"Barnstable Town, MA Metro Area",3372
"G12940","2010","US",,,,,,,,,"Baton Rouge, LA Metro Area","12940",,,,,,,,,,,,,"31000US12940","Baton Rouge, LA Metro Area",48294,"Baton Rouge, LA Metro Area",1690
"G12980","2010","US",,,,,,,,,"Battle Creek, MI Metro Area","12980",,,,,,,,,,,,,"31000US12980","Battle Creek, MI Metro Area",42921,"Battle Creek, MI Metro Area",2705
"G13020","2010","US",,,,,,,,,"Bay City, MI Metro Area","13020",,,,,,,,,,,,,"31000US13020","Bay City, MI Metro Area",45451,"Bay City, MI Metro Area",3876
"G13140","2010","US",,,,,,,,,"Beaumont-Port Arthur, TX Metro Area","13140",,,,,,,,,,,,,"31000US13140","Beaumont-Port Arthur, TX Metro Area",41291,"Beaumont-Port Arthur, TX Metro Area",1786
"G13180","2010","US",,,,,,,,,"Beaver Dam, WI Micro Area","13180",,,,,,,,,,,,,"31000US13180","Beaver Dam, WI Micro Area",50797,"Beaver Dam, WI Micro Area",2738
"G13220","2010","US",,,,,,,,,"Beckley, WV Micro Area","13220",,,,,,,,,,,,,"31000US13220","Beckley, WV Micro Area",37982,"Beckley, WV Micro Area",5578
"G13380","2010","US",,,,,,,,,"Bellingham, WA Metro Area","13380",,,,,,,,,,,,,"31000US13380","Bellingham, WA Metro Area",49938,"Bellingham, WA Metro Area",2873
"G13460","2010","US",,,,,,,,,"Bend, OR Metro Area","13460",,,,,,,,,,,,,"31000US13460","Bend, OR Metro Area",44680,"Bend, OR Metro Area",3893
