GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,I25E001,NAME_M,I25M001
"G01001","2010","AL",,,"Alabama","01",,,,,,,,,,,,,"01",,,,,,"50000US0101","Congressional District 1 (111th Congress), Alabama",41172,"Congressional District 1 (111th Congress), Alabama",1406
"G01002","2010","AL",,,"Alabama","01",,,,,,,,,,,,,"02",,,,,,"50000US0102","Congressional District 2 (111th Congress), Alabama",40567,"Congressional District 2 (111th Congress), Alabama",790
"G01003","2010","AL",,,"Alabama","01",,,,,,,,,,,,,"03",,,,,,"50000US0103","Congressional District 3 (111th Congress), Alabama",35452,"Congressional District 3 (111th Congress), Alabama",1685
"G01004","2010","AL",,,"Alabama","01",,,,,,,,,,,,,"04",,,,,,"50000US0104","Congressional District 4 (111th Congress), Alabama",36715,"Congressional District 4 (111th Congress), Alabama",1188
"G01005","2010","AL",,,"Alabama","01",,,,,,,,,,,,,"05",,,,,,"50000US0105","Congressional District 5 (111th Congress), Alabama",45856,"Congressional District 5 (111th Congress), Alabama",1341
"G01006","2010","AL",,,"Alabama","01",,,,,,,,,,,,,"06",,,,,,"50000US0106","Congressional District 6 (111th Congress), Alabama",55559,"Congressional District 6 (111th Congress), Alabama",1795
"G01007","2010","AL",,,"Alabama","01",,,,,,,,,,,,,"07",,,,,,"50000US0107","Congressional District 7 (111th Congress), Alabama",31047,"Congressional District 7 (111th Congress), Alabama",934
"G02000","2010","AK",,,"Alaska","02",,,,,,,,,,,,,"00",,,,,,"50000US0200","Congressional District (at Large) (111th Congress), Alaska",64576,"Congressional District (at Large) (111th Congress), Alaska",2085
"G04001","2010","AZ",,,"Arizona","04",,,,,,,,,,,,,"01",,,,,,"50000US0401","Congressional District 1 (111th Congress), Arizona",40854,"Congressional District 1 (111th Congress), Arizona",1280
"G04002","2010","AZ",,,"Arizona","04",,,,,,,,,,,,,"02",,,,,,"50000US0402","Congressional District 2 (111th Congress), Arizona",47963,"Congressional District 2 (111th Congress), Arizona",1590
"G04003","2010","AZ",,,"Arizona","04",,,,,,,,,,,,,"03",,,,,,"50000US0403","Congressional District 3 (111th Congress), Arizona",52327,"Congressional District 3 (111th Congress), Arizona",1637
"G04004","2010","AZ",,,"Arizona","04",,,,,,,,,,,,,"04",,,,,,"50000US0404","Congressional District 4 (111th Congress), Arizona",31498,"Congressional District 4 (111th Congress), Arizona",687
"G04005","2010","AZ",,,"Arizona","04",,,,,,,,,,,,,"05",,,,,,"50000US0405","Congressional District 5 (111th Congress), Arizona",55876,"Congressional District 5 (111th Congress), Arizona",1928
"G04006","2010","AZ",,,"Arizona","04",,,,,,,,,,,,,"06",,,,,,"50000US0406","Congressional District 6 (111th Congress), Arizona",56691,"Congressional District 6 (111th Congress), Arizona",1768
