GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,I25E001,NAME_M,I25M001
"G102","2010","US",,,,,,,,,,"Albany-Corvallis-Lebanon, OR CSA","102",,,,,,,,,,,,"33000US102","Albany-Corvallis-Lebanon, OR CSA",43557,"Albany-Corvallis-Lebanon, OR CSA",2611
"G104","2010","US",,,,,,,,,,"Albany-Schenectady-Amsterdam, NY CSA","104",,,,,,,,,,,,"33000US104","Albany-Schenectady-Amsterdam, NY CSA",53415,"Albany-Schenectady-Amsterdam, NY CSA",1309
"G112","2010","US",,,,,,,,,,"Ames-Boone, IA CSA","112",,,,,,,,,,,,"33000US112","Ames-Boone, IA CSA",48664,"Ames-Boone, IA CSA",2577
"G118","2010","US",,,,,,,,,,"Appleton-Oshkosh-Neenah, WI CSA","118",,,,,,,,,,,,"33000US118","Appleton-Oshkosh-Neenah, WI CSA",52054,"Appleton-Oshkosh-Neenah, WI CSA",1248
"G120","2010","US",,,,,,,,,,"Asheville-Brevard, NC CSA","120",,,,,,,,,,,,"33000US120","Asheville-Brevard, NC CSA",42081,"Asheville-Brevard, NC CSA",1792
"G122","2010","US",,,,,,,,,,"Atlanta-Sandy Springs-Gainesville, GA-AL CSA","122",,,,,,,,,,,,"33000US122","Atlanta-Sandy Springs-Gainesville, GA-AL CSA",52202,"Atlanta-Sandy Springs-Gainesville, GA-AL CSA",512
"G126","2010","US",,,,,,,,,,"Austin-Round Rock-Marble Falls, TX CSA","126",,,,,,,,,,,,"33000US126","Austin-Round Rock-Marble Falls, TX CSA",55628,"Austin-Round Rock-Marble Falls, TX CSA",991
"G132","2010","US",,,,,,,,,,"Baton Rouge-Pierre Part, LA CSA","132",,,,,,,,,,,,"33000US132","Baton Rouge-Pierre Part, LA CSA",48094,"Baton Rouge-Pierre Part, LA CSA",1607
"G138","2010","US",,,,,,,,,,"Beckley-Oak Hill, WV CSA","138",,,,,,,,,,,,"33000US138","Beckley-Oak Hill, WV CSA",32846,"Beckley-Oak Hill, WV CSA",3076
"G140","2010","US",,,,,,,,,,"Bend-Prineville, OR CSA","140",,,,,,,,,,,,"33000US140","Bend-Prineville, OR CSA",44044,"Bend-Prineville, OR CSA",3579
