GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUB,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,I25E001,NAME_M,I25M001
"G090001008070","2010","CT",,,"Connecticut","09","Fairfield County","001","Bridgeport town","08070",,,,,,,,,,,,,,,,,"06000US0900108070","Bridgeport town, Fairfield County, Connecticut",38919,"Bridgeport town, Fairfield County, Connecticut",4658
"G090001018500","2010","CT",,,"Connecticut","09","Fairfield County","001","Danbury town","18500",,,,,,,,,,,,,,,,,"06000US0900118500","Danbury town, Fairfield County, Connecticut",58124,"Danbury town, Fairfield County, Connecticut",5736
"G090001056060","2010","CT",,,"Connecticut","09","Fairfield County","001","Norwalk town","56060",,,,,,,,,,,,,,,,,"06000US0900156060","Norwalk town, Fairfield County, Connecticut",67848,"Norwalk town, Fairfield County, Connecticut",6198
"G090001073070","2010","CT",,,"Connecticut","09","Fairfield County","001","Stamford town","73070",,,,,,,,,,,,,,,,,"06000US0900173070","Stamford town, Fairfield County, Connecticut",66617,"Stamford town, Fairfield County, Connecticut",5264
"G090003037070","2010","CT",,,"Connecticut","09","Hartford County","003","Hartford town","37070",,,,,,,,,,,,,,,,,"06000US0900337070","Hartford town, Hartford County, Connecticut",26499,"Hartford town, Hartford County, Connecticut",2952
"G090003050440","2010","CT",,,"Connecticut","09","Hartford County","003","New Britain town","50440",,,,,,,,,,,,,,,,,"06000US0900350440","New Britain town, Hartford County, Connecticut",36784,"New Britain town, Hartford County, Connecticut",4508
"G090009052070","2010","CT",,,"Connecticut","09","New Haven County","009","New Haven town","52070",,,,,,,,,,,,,,,,,"06000US0900952070","New Haven town, New Haven County, Connecticut",35122,"New Haven town, New Haven County, Connecticut",6095
"G090009080070","2010","CT",,,"Connecticut","09","New Haven County","009","Waterbury town","80070",,,,,,,,,,,,,,,,,"06000US0900980070","Waterbury town, New Haven County, Connecticut",38672,"Waterbury town, New Haven County, Connecticut",4573
"G170019012411","2010","IL",,,"Illinois","17","Champaign County","019","Champaign City township","12411",,,,,,,,,,,,,,,,,"06000US1701912411","Champaign City township, Champaign County, Illinois",40277,"Champaign City township, Champaign County, Illinois",5383
"G170031006561","2010","IL",,,"Illinois","17","Cook County","031","Bloom township","06561",,,,,,,,,,,,,,,,,"06000US1703106561","Bloom township, Cook County, Illinois",51589,"Bloom township, Cook County, Illinois",4897
"G170031007939","2010","IL",,,"Illinois","17","Cook County","031","Bremen township","07939",,,,,,,,,,,,,,,,,"06000US1703107939","Bremen township, Cook County, Illinois",53558,"Bremen township, Cook County, Illinois",5855
"G170031014000","2010","IL",,,"Illinois","17","Cook County","031","Chicago city","14000",,,,,,,,,,,,,,,,,"06000US1703114000","Chicago city, Cook County, Illinois",44776,"Chicago city, Cook County, Illinois",912
"G170031014364","2010","IL",,,"Illinois","17","Cook County","031","Cicero township","14364",,,,,,,,,,,,,,,,,"06000US1703114364","Cicero township, Cook County, Illinois",45731,"Cicero township, Cook County, Illinois",3884
"G170031023243","2010","IL",,,"Illinois","17","Cook County","031","Elk Grove township","23243",,,,,,,,,,,,,,,,,"06000US1703123243","Elk Grove township, Cook County, Illinois",60965,"Elk Grove township, Cook County, Illinois",2604
"G170031024595","2010","IL",,,"Illinois","17","Cook County","031","Evanston township","24595",,,,,,,,,,,,,,,,,"06000US1703124595","Evanston township, Cook County, Illinois",60424,"Evanston township, Cook County, Illinois",8259
"G170031032694","2010","IL",,,"Illinois","17","Cook County","031","Hanover township","32694",,,,,,,,,,,,,,,,,"06000US1703132694","Hanover township, Cook County, Illinois",65566,"Hanover township, Cook County, Illinois",5688
"G170031043120","2010","IL",,,"Illinois","17","Cook County","031","Leyden township","43120",,,,,,,,,,,,,,,,,"06000US1703143120","Leyden township, Cook County, Illinois",46895,"Leyden township, Cook County, Illinois",6456
"G170031045447","2010","IL",,,"Illinois","17","Cook County","031","Lyons township","45447",,,,,,,,,,,,,,,,,"06000US1703145447","Lyons township, Cook County, Illinois",60753,"Lyons township, Cook County, Illinois",3351
"G170031046162","2010","IL",,,"Illinois","17","Cook County","031","Maine township","46162",,,,,,,,,,,,,,,,,"06000US1703146162","Maine township, Cook County, Illinois",60157,"Maine township, Cook County, Illinois",3255
"G170031053013","2010","IL",,,"Illinois","17","Cook County","031","Niles township","53013",,,,,,,,,,,,,,,,,"06000US1703153013","Niles township, Cook County, Illinois",66701,"Niles township, Cook County, Illinois",4866
"G170031053676","2010","IL",,,"Illinois","17","Cook County","031","Northfield township","53676",,,,,,,,,,,,,,,,,"06000US1703153676","Northfield township, Cook County, Illinois",85510,"Northfield township, Cook County, Illinois",10790
"G170031056614","2010","IL",,,"Illinois","17","Cook County","031","Orland township","56614",,,,,,,,,,,,,,,,,"06000US1703156614","Orland township, Cook County, Illinois",75990,"Orland township, Cook County, Illinois",9636
"G170031057238","2010","IL",,,"Illinois","17","Cook County","031","Palatine township","57238",,,,,,,,,,,,,,,,,"06000US1703157238","Palatine township, Cook County, Illinois",69787,"Palatine township, Cook County, Illinois",4231
"G170031062133","2010","IL",,,"Illinois","17","Cook County","031","Proviso township","62133",,,,,,,,,,,,,,,,,"06000US1703162133","Proviso township, Cook County, Illinois",50072,"Proviso township, Cook County, Illinois",2887
"G170031063498","2010","IL",,,"Illinois","17","Cook County","031","Rich township","63498",,,,,,,,,,,,,,,,,"06000US1703163498","Rich township, Cook County, Illinois",61681,"Rich township, Cook County, Illinois",5035
"G170031068016","2010","IL",,,"Illinois","17","Cook County","031","Schaumburg township","68016",,,,,,,,,,,,,,,,,"06000US1703168016","Schaumburg township, Cook County, Illinois",62922,"Schaumburg township, Cook County, Illinois",4203
"G170031075198","2010","IL",,,"Illinois","17","Cook County","031","Thornton township","75198",,,,,,,,,,,,,,,,,"06000US1703175198","Thornton township, Cook County, Illinois",42087,"Thornton township, Cook County, Illinois",2681
"G170031081100","2010","IL",,,"Illinois","17","Cook County","031","Wheeling township","81100",,,,,,,,,,,,,,,,,"06000US1703181100","Wheeling township, Cook County, Illinois",65441,"Wheeling township, Cook County, Illinois",2877
"G170031083531","2010","IL",,,"Illinois","17","Cook County","031","Worth township","83531",,,,,,,,,,,,,,,,,"06000US1703183531","Worth township, Cook County, Illinois",56848,"Worth township, Cook County, Illinois",4436
"G170043000250","2010","IL",,,"Illinois","17","DuPage County","043","Addison township","00250",,,,,,,,,,,,,,,,,"06000US1704300250","Addison township, DuPage County, Illinois",60222,"Addison township, DuPage County, Illinois",6690
"G170043006600","2010","IL",,,"Illinois","17","DuPage County","043","Bloomingdale township","06600",,,,,,,,,,,,,,,,,"06000US1704306600","Bloomingdale township, DuPage County, Illinois",61517,"Bloomingdale township, DuPage County, Illinois",4029
"G170043020604","2010","IL",,,"Illinois","17","DuPage County","043","Downers Grove township","20604",,,,,,,,,,,,,,,,,"06000US1704320604","Downers Grove township, DuPage County, Illinois",75743,"Downers Grove township, DuPage County, Illinois",5198
"G170043043952","2010","IL",,,"Illinois","17","DuPage County","043","Lisle township","43952",,,,,,,,,,,,,,,,,"06000US1704343952","Lisle township, DuPage County, Illinois",78363,"Lisle township, DuPage County, Illinois",3397
"G170043049451","2010","IL",,,"Illinois","17","DuPage County","043","Milton township","49451",,,,,,,,,,,,,,,,,"06000US1704349451","Milton township, DuPage County, Illinois",77126,"Milton township, DuPage County, Illinois",6352
"G170043051635","2010","IL",,,"Illinois","17","DuPage County","043","Naperville township","51635",,,,,,,,,,,,,,,,,"06000US1704351635","Naperville township, DuPage County, Illinois",80548,"Naperville township, DuPage County, Illinois",3799
"G170043079410","2010","IL",,,"Illinois","17","DuPage County","043","Wayne township","79410",,,,,,,,,,,,,,,,,"06000US1704379410","Wayne township, DuPage County, Illinois",87763,"Wayne township, DuPage County, Illinois",6276
