GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSA,CBSAA,CSAA,METDIV,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,I25E001,NAME_M,I25M001
"G1446014484","2010","US",,,,,,,,,"Boston-Cambridge-Quincy, MA-NH Metro Area","14460",,"Boston-Quincy, MA Metro Division","14484",,,,,,,,,,,"31400US1446014484","Boston-Quincy, MA Metro Division; Boston-Cambridge-Quincy, MA-NH Metro Area",65129,"Boston-Quincy, MA Metro Division; Boston-Cambridge-Quincy, MA-NH Metro Area",1208
"G1446015764","2010","US",,,,,,,,,"Boston-Cambridge-Quincy, MA-NH Metro Area","14460",,"Cambridge-Newton-Framingham, MA Metro Division","15764",,,,,,,,,,,"31400US1446015764","Cambridge-Newton-Framingham, MA Metro Division; Boston-Cambridge-Quincy, MA-NH Metro Area",75534,"Cambridge-Newton-Framingham, MA Metro Division; Boston-Cambridge-Quincy, MA-NH Metro Area",1429
"G1446037764","2010","US",,,,,,,,,"Boston-Cambridge-Quincy, MA-NH Metro Area","14460",,"Peabody, MA Metro Division","37764",,,,,,,,,,,"31400US1446037764","Peabody, MA Metro Division; Boston-Cambridge-Quincy, MA-NH Metro Area",61789,"Peabody, MA Metro Division; Boston-Cambridge-Quincy, MA-NH Metro Area",1638
"G1446040484","2010","US",,,,,,,,,"Boston-Cambridge-Quincy, MA-NH Metro Area","14460",,"Rockingham County-Strafford County, NH Metro Division","40484",,,,,,,,,,,"31400US1446040484","Rockingham County-Strafford County, NH Metro Division; Boston-Cambridge-Quincy, MA-NH Metro Area",67285,"Rockingham County-Strafford County, NH Metro Division; Boston-Cambridge-Quincy, MA-NH Metro Area",2584
"G1698016974","2010","US",,,,,,,,,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area","16980",,"Chicago-Joliet-Naperville, IL Metro Division","16974",,,,,,,,,,,"31400US1698016974","Chicago-Joliet-Naperville, IL Metro Division; Chicago-Joliet-Naperville, IL-IN-WI Metro Area",57108,"Chicago-Joliet-Naperville, IL Metro Division; Chicago-Joliet-Naperville, IL-IN-WI Metro Area",506
"G1698023844","2010","US",,,,,,,,,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area","16980",,"Gary, IN Metro Division","23844",,,,,,,,,,,"31400US1698023844","Gary, IN Metro Division; Chicago-Joliet-Naperville, IL-IN-WI Metro Area",48094,"Gary, IN Metro Division; Chicago-Joliet-Naperville, IL-IN-WI Metro Area",1595
"G1698029404","2010","US",,,,,,,,,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area","16980",,"Lake County-Kenosha County, IL-WI Metro Division","29404",,,,,,,,,,,"31400US1698029404","Lake County-Kenosha County, IL-WI Metro Division; Chicago-Joliet-Naperville, IL-IN-WI Metro Area",67845,"Lake County-Kenosha County, IL-WI Metro Division; Chicago-Joliet-Naperville, IL-IN-WI Metro Area",2363
"G1910019124","2010","US",,,,,,,,,"Dallas-Fort Worth-Arlington, TX Metro Area","19100",,"Dallas-Plano-Irving, TX Metro Division","19124",,,,,,,,,,,"31400US1910019124","Dallas-Plano-Irving, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area",55572,"Dallas-Plano-Irving, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area",657
"G1910023104","2010","US",,,,,,,,,"Dallas-Fort Worth-Arlington, TX Metro Area","19100",,"Fort Worth-Arlington, TX Metro Division","23104",,,,,,,,,,,"31400US1910023104","Fort Worth-Arlington, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area",52379,"Fort Worth-Arlington, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area",987
"G1982019804","2010","US",,,,,,,,,"Detroit-Warren-Livonia, MI Metro Area","19820",,"Detroit-Livonia-Dearborn, MI Metro Division","19804",,,,,,,,,,,"31400US1982019804","Detroit-Livonia-Dearborn, MI Metro Division; Detroit-Warren-Livonia, MI Metro Area",39408,"Detroit-Livonia-Dearborn, MI Metro Division; Detroit-Warren-Livonia, MI Metro Area",861
"G1982047644","2010","US",,,,,,,,,"Detroit-Warren-Livonia, MI Metro Area","19820",,"Warren-Troy-Farmington Hills, MI Metro Division","47644",,,,,,,,,,,"31400US1982047644","Warren-Troy-Farmington Hills, MI Metro Division; Detroit-Warren-Livonia, MI Metro Area",54476,"Warren-Troy-Farmington Hills, MI Metro Division; Detroit-Warren-Livonia, MI Metro Area",809
