GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,I25E001,NAME_M,I25M001
"G70600","2010","US",,,,,,,,,,,,"Augusta, ME Micropolitan NECTA","70600",,,,,,,,,,"35000US70600","Augusta, ME Micropolitan NECTA",46350,"Augusta, ME Micropolitan NECTA",4338
"G70750","2010","US",,,,,,,,,,,,"Bangor, ME Metropolitan NECTA","70750",,,,,,,,,,"35000US70750","Bangor, ME Metropolitan NECTA",46024,"Bangor, ME Metropolitan NECTA",3726
"G70900","2010","US",,,,,,,,,,,,"Barnstable Town, MA Metropolitan NECTA","70900",,,,,,,,,,"35000US70900","Barnstable Town, MA Metropolitan NECTA",57177,"Barnstable Town, MA Metropolitan NECTA",4017
"G71650","2010","US",,,,,,,,,,,,"Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA","71650",,,,,,,,,,"35000US71650","Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA",68955,"Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA",1011
"G71950","2010","US",,,,,,,,,,,,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA","71950",,,,,,,,,,"35000US71950","Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA",75637,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA",2410
"G72250","2010","US",,,,,,,,,,,,"Brunswick, ME Micropolitan NECTA","72250",,,,,,,,,,"35000US72250","Brunswick, ME Micropolitan NECTA",52486,"Brunswick, ME Micropolitan NECTA",4506
"G72400","2010","US",,,,,,,,,,,,"Burlington-South Burlington, VT Metropolitan NECTA","72400",,,,,,,,,,"35000US72400","Burlington-South Burlington, VT Metropolitan NECTA",57407,"Burlington-South Burlington, VT Metropolitan NECTA",4153
"G72700","2010","US",,,,,,,,,,,,"Concord, NH Micropolitan NECTA","72700",,,,,,,,,,"35000US72700","Concord, NH Micropolitan NECTA",60149,"Concord, NH Micropolitan NECTA",2816
"G72850","2010","US",,,,,,,,,,,,"Danbury, CT Metropolitan NECTA","72850",,,,,,,,,,"35000US72850","Danbury, CT Metropolitan NECTA",69861,"Danbury, CT Metropolitan NECTA",4701
"G73450","2010","US",,,,,,,,,,,,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA","73450",,,,,,,,,,"35000US73450","Hartford-West Hartford-East Hartford, CT Metropolitan NECTA",63494,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA",1640
"G74350","2010","US",,,,,,,,,,,,"Lebanon, NH-VT Micropolitan NECTA","74350",,,,,,,,,,"35000US74350","Lebanon, NH-VT Micropolitan NECTA",56826,"Lebanon, NH-VT Micropolitan NECTA",5821
"G74500","2010","US",,,,,,,,,,,,"Leominster-Fitchburg-Gardner, MA Metropolitan NECTA","74500",,,,,,,,,,"35000US74500","Leominster-Fitchburg-Gardner, MA Metropolitan NECTA",53565,"Leominster-Fitchburg-Gardner, MA Metropolitan NECTA",4742
