GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,I25E001,NAME_M,I25M001
"G01000100","2010","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,"00100","79500US0100100","PUMA5 00100, Alabama",37638,"PUMA5 00100, Alabama",2752
"G01000200","2010","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,"00200","79500US0100200","PUMA5 00200, Alabama",42264,"PUMA5 00200, Alabama",2998
"G01000300","2010","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,"00300","79500US0100300","PUMA5 00300, Alabama",61255,"PUMA5 00300, Alabama",3279
"G01000400","2010","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,"00400","79500US0100400","PUMA5 00400, Alabama",34757,"PUMA5 00400, Alabama",3618
"G01000500","2010","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,"00500","79500US0100500","PUMA5 00500, Alabama",37590,"PUMA5 00500, Alabama",2381
"G01000600","2010","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,"00600","79500US0100600","PUMA5 00600, Alabama",42172,"PUMA5 00600, Alabama",4474
"G01000700","2010","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,"00700","79500US0100700","PUMA5 00700, Alabama",32728,"PUMA5 00700, Alabama",1968
"G01000800","2010","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,"00800","79500US0100800","PUMA5 00800, Alabama",41836,"PUMA5 00800, Alabama",2034
"G01000901","2010","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,"00901","79500US0100901","PUMA5 00901, Alabama",31044,"PUMA5 00901, Alabama",3064
"G01000902","2010","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,"00902","79500US0100902","PUMA5 00902, Alabama",25418,"PUMA5 00902, Alabama",1833
"G01000903","2010","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,"00903","79500US0100903","PUMA5 00903, Alabama",60279,"PUMA5 00903, Alabama",3029
"G01000904","2010","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,"00904","79500US0100904","PUMA5 00904, Alabama",48840,"PUMA5 00904, Alabama",3445
"G01000905","2010","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,"00905","79500US0100905","PUMA5 00905, Alabama",44733,"PUMA5 00905, Alabama",5193
"G01001000","2010","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,"01000","79500US0101000","PUMA5 01000, Alabama",35897,"PUMA5 01000, Alabama",2125
"G01001100","2010","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,"01100","79500US0101100","PUMA5 01100, Alabama",32886,"PUMA5 01100, Alabama",2090
"G01001200","2010","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,"01200","79500US0101200","PUMA5 01200, Alabama",36675,"PUMA5 01200, Alabama",3304
"G01001300","2010","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,"01300","79500US0101300","PUMA5 01300, Alabama",65673,"PUMA5 01300, Alabama",4623
"G01001400","2010","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,"01400","79500US0101400","PUMA5 01400, Alabama",43450,"PUMA5 01400, Alabama",3018
