GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,I25E001,NAME_M,I25M001
"G010","2010","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,"04000US01","Alabama",40474,"Alabama",472
"G020","2010","AK",,,"Alaska","02",,,,,,,,,,,,,,,,,,,"04000US02","Alaska",64576,"Alaska",2085
"G040","2010","AZ",,,"Arizona","04",,,,,,,,,,,,,,,,,,,"04000US04","Arizona",46789,"Arizona",531
"G050","2010","AR",,,"Arkansas","05",,,,,,,,,,,,,,,,,,,"04000US05","Arkansas",38307,"Arkansas",643
"G060","2010","CA",,,"California","06",,,,,,,,,,,,,,,,,,,"04000US06","California",57708,"California",354
"G080","2010","CO",,,"Colorado","08",,,,,,,,,,,,,,,,,,,"04000US08","Colorado",54046,"Colorado",729
"G090","2010","CT",,,"Connecticut","09",,,,,,,,,,,,,,,,,,,"04000US09","Connecticut",64032,"Connecticut",1092
"G100","2010","DE",,,"Delaware","10",,,,,,,,,,,,,,,,,,,"04000US10","Delaware",55847,"Delaware",1499
"G110","2010","DC",,,"District Of Columbia","11",,,,,,,,,,,,,,,,,,,"04000US11","District of Columbia",60903,"District of Columbia",1540
"G120","2010","FL",,,"Florida","12",,,,,,,,,,,,,,,,,,,"04000US12","Florida",44409,"Florida",324
"G130","2010","GA",,,"Georgia","13",,,,,,,,,,,,,,,,,,,"04000US13","Georgia",46430,"Georgia",470
"G150","2010","HI",,,"Hawaii","15",,,,,,,,,,,,,,,,,,,"04000US15","Hawaii",63030,"Hawaii",1556
"G160","2010","ID",,,"Idaho","16",,,,,,,,,,,,,,,,,,,"04000US16","Idaho",43490,"Idaho",1005
"G170","2010","IL",,,"Illinois","17",,,,,,,,,,,,,,,,,,,"04000US17","Illinois",52972,"Illinois",439
"G180","2010","IN",,,"Indiana","18",,,,,,,,,,,,,,,,,,,"04000US18","Indiana",44613,"Indiana",452
"G190","2010","IA",,,"Iowa","19",,,,,,,,,,,,,,,,,,,"04000US19","Iowa",47961,"Iowa",647
"G200","2010","KS",,,"Kansas","20",,,,,,,,,,,,,,,,,,,"04000US20","Kansas",48257,"Kansas",870
"G210","2010","KY",,,"Kentucky","21",,,,,,,,,,,,,,,,,,,"04000US21","Kentucky",40062,"Kentucky",502
"G220","2010","LA",,,"Louisiana","22",,,,,,,,,,,,,,,,,,,"04000US22","Louisiana",42505,"Louisiana",707
"G230","2010","ME",,,"Maine","23",,,,,,,,,,,,,,,,,,,"04000US23","Maine",45815,"Maine",953
"G240","2010","MD",,,"Maryland","24",,,,,,,,,,,,,,,,,,,"04000US24","Maryland",68854,"Maryland",922
"G250","2010","MA",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,,"04000US25","Massachusetts",62072,"Massachusetts",408
"G260","2010","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,"04000US26","Michigan",45413,"Michigan",306
"G270","2010","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,"04000US27","Minnesota",55459,"Minnesota",457
"G280","2010","MS",,,"Mississippi","28",,,,,,,,,,,,,,,,,,,"04000US28","Mississippi",36851,"Mississippi",635
