GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,I25E001,NAME_M,I25M001
"G00199","2010","US",,,,,,,,,,,,,,,"Aberdeen--Havre de Grace--Bel Air, MD Urbanized Area","00199",,,,,,,"40000US00199","Aberdeen--Havre de Grace--Bel Air, MD Urbanized Area",66158,"Aberdeen--Havre de Grace--Bel Air, MD Urbanized Area",3352
"G00280","2010","US",,,,,,,,,,,,,,,"Abilene, TX Urbanized Area","00280",,,,,,,"40000US00280","Abilene, TX Urbanized Area",38346,"Abilene, TX Urbanized Area",3142
"G00631","2010","PR",,,,,,,,,,,,,,,"Aguadilla--Isabela--San Sebastián, PR Urbanized Area","00631",,,,,,,"40000US00631","Aguadilla--Isabela--San Sebastián, PR Urbanized Area",14657,"Aguadilla--Isabela--San Sebastián, PR Urbanized Area",888
"G00766","2010","US",,,,,,,,,,,,,,,"Akron, OH Urbanized Area","00766",,,,,,,"40000US00766","Akron, OH Urbanized Area",42047,"Akron, OH Urbanized Area",1145
"G00901","2010","US",,,,,,,,,,,,,,,"Albany, GA Urbanized Area","00901",,,,,,,"40000US00901","Albany, GA Urbanized Area",28407,"Albany, GA Urbanized Area",3985
"G00928","2010","US",,,,,,,,,,,,,,,"Albany, NY Urbanized Area","00928",,,,,,,"40000US00928","Albany, NY Urbanized Area",54534,"Albany, NY Urbanized Area",1603
"G01171","2010","US",,,,,,,,,,,,,,,"Albuquerque, NM Urbanized Area","01171",,,,,,,"40000US01171","Albuquerque, NM Urbanized Area",46842,"Albuquerque, NM Urbanized Area",1296
"G01279","2010","US",,,,,,,,,,,,,,,"Alexandria, LA Urbanized Area","01279",,,,,,,"40000US01279","Alexandria, LA Urbanized Area",35997,"Alexandria, LA Urbanized Area",2358
"G01495","2010","US",,,,,,,,,,,,,,,"Allentown--Bethlehem, PA--NJ Urbanized Area","01495",,,,,,,"40000US01495","Allentown--Bethlehem, PA--NJ Urbanized Area",51858,"Allentown--Bethlehem, PA--NJ Urbanized Area",1337
"G01765","2010","US",,,,,,,,,,,,,,,"Alton, IL Urbanized Area","01765",,,,,,,"40000US01765","Alton, IL Urbanized Area",41940,"Alton, IL Urbanized Area",3988
"G01792","2010","US",,,,,,,,,,,,,,,"Altoona, PA Urbanized Area","01792",,,,,,,"40000US01792","Altoona, PA Urbanized Area",38445,"Altoona, PA Urbanized Area",3048
"G01927","2010","US",,,,,,,,,,,,,,,"Amarillo, TX Urbanized Area","01927",,,,,,,"40000US01927","Amarillo, TX Urbanized Area",43425,"Amarillo, TX Urbanized Area",3311
"G02305","2010","US",,,,,,,,,,,,,,,"Anchorage, AK Urbanized Area","02305",,,,,,,"40000US02305","Anchorage, AK Urbanized Area",66859,"Anchorage, AK Urbanized Area",3750
"G02386","2010","US",,,,,,,,,,,,,,,"Anderson, IN Urbanized Area","02386",,,,,,,"40000US02386","Anderson, IN Urbanized Area",36502,"Anderson, IN Urbanized Area",1626
"G02413","2010","US",,,,,,,,,,,,,,,"Anderson, SC Urbanized Area","02413",,,,,,,"40000US02413","Anderson, SC Urbanized Area",27391,"Anderson, SC Urbanized Area",3609
"G02602","2010","US",,,,,,,,,,,,,,,"Ann Arbor, MI Urbanized Area","02602",,,,,,,"40000US02602","Ann Arbor, MI Urbanized Area",51331,"Ann Arbor, MI Urbanized Area",1691
"G02629","2010","US",,,,,,,,,,,,,,,"Anniston, AL Urbanized Area","02629",,,,,,,"40000US02629","Anniston, AL Urbanized Area",37304,"Anniston, AL Urbanized Area",4725
"G02683","2010","US",,,,,,,,,,,,,,,"Antioch, CA Urbanized Area","02683",,,,,,,"40000US02683","Antioch, CA Urbanized Area",60993,"Antioch, CA Urbanized Area",2813
"G02764","2010","US",,,,,,,,,,,,,,,"Appleton, WI Urbanized Area","02764",,,,,,,"40000US02764","Appleton, WI Urbanized Area",50976,"Appleton, WI Urbanized Area",1186
"G03034","2010","PR",,,,,,,,,,,,,,,"Arecibo, PR Urbanized Area","03034",,,,,,,"40000US03034","Arecibo, PR Urbanized Area",16567,"Arecibo, PR Urbanized Area",1296
"G03358","2010","US",,,,,,,,,,,,,,,"Asheville, NC Urbanized Area","03358",,,,,,,"40000US03358","Asheville, NC Urbanized Area",41004,"Asheville, NC Urbanized Area",2649
"G03763","2010","US",,,,,,,,,,,,,,,"Athens-Clarke County, GA Urbanized Area","03763",,,,,,,"40000US03763","Athens-Clarke County, GA Urbanized Area",36612,"Athens-Clarke County, GA Urbanized Area",2909
"G03817","2010","US",,,,,,,,,,,,,,,"Atlanta, GA Urbanized Area","03817",,,,,,,"40000US03817","Atlanta, GA Urbanized Area",52320,"Atlanta, GA Urbanized Area",687
"G03898","2010","US",,,,,,,,,,,,,,,"Atlantic City, NJ Urbanized Area","03898",,,,,,,"40000US03898","Atlantic City, NJ Urbanized Area",52255,"Atlantic City, NJ Urbanized Area",2646
"G04033","2010","US",,,,,,,,,,,,,,,"Auburn, AL Urbanized Area","04033",,,,,,,"40000US04033","Auburn, AL Urbanized Area",27153,"Auburn, AL Urbanized Area",2806
"G04222","2010","US",,,,,,,,,,,,,,,"Augusta-Richmond County, GA--SC Urbanized Area","04222",,,,,,,"40000US04222","Augusta-Richmond County, GA--SC Urbanized Area",45311,"Augusta-Richmond County, GA--SC Urbanized Area",3016
"G04384","2010","US",,,,,,,,,,,,,,,"Austin, TX Urbanized Area","04384",,,,,,,"40000US04384","Austin, TX Urbanized Area",52312,"Austin, TX Urbanized Area",973
"G04546","2010","US",,,,,,,,,,,,,,,"Avondale, AZ Urbanized Area","04546",,,,,,,"40000US04546","Avondale, AZ Urbanized Area",60016,"Avondale, AZ Urbanized Area",6028
"G04681","2010","US",,,,,,,,,,,,,,,"Bakersfield, CA Urbanized Area","04681",,,,,,,"40000US04681","Bakersfield, CA Urbanized Area",45832,"Bakersfield, CA Urbanized Area",2718
"G04843","2010","US",,,,,,,,,,,,,,,"Baltimore, MD Urbanized Area","04843",,,,,,,"40000US04843","Baltimore, MD Urbanized Area",60979,"Baltimore, MD Urbanized Area",982
"G05167","2010","US",,,,,,,,,,,,,,,"Barnstable Town, MA Urbanized Area","05167",,,,,,,"40000US05167","Barnstable Town, MA Urbanized Area",57643,"Barnstable Town, MA Urbanized Area",4119
"G05680","2010","US",,,,,,,,,,,,,,,"Baton Rouge, LA Urbanized Area","05680",,,,,,,"40000US05680","Baton Rouge, LA Urbanized Area",45655,"Baton Rouge, LA Urbanized Area",2160
